SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63529903.3   NPRNTI= 5   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)      276.8 
     3          3S1 3P2             (4)1( 0.5)    35412.3 
     4          3S1 3P2             (4)1( 1.5)    35509.5 
     5          3S1 3P2             (4)1( 2.5)    35669.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63523229.5   NLVL= 298
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   253     2    3S2 3P1 8F1         (3)3( 2.0)    26718.8*     0.00E+00
   254     2    3S2 3P1 8F1         (3)4( 5.0)    26720.2*     0.00E+00
   255     2    3S2 3P1 8F1         (1)4( 4.0)    26721.6*     0.00E+00
   256     2    3S2 3P1 8F1         (3)2( 1.0)    26723.5*     0.00E+00
   257     2    3S2 3P1 8F1         (3)2( 2.0)    26724.3*     0.00E+00
   258     2    3S2 3P1 8G1         (1)4( 4.0)    26757.6*     0.00E+00
   259     2    3S2 3P1 8G1         (3)4( 5.0)    26757.6*     0.00E+00
   260     2    3S2 3P1 8H1         (1)5( 5.0)    26759.2*     0.00E+00
   261     2    3S2 3P1 8H1         (3)5( 6.0)    26759.2*     0.00E+00
   262     2    3S2 3P1 8G1         (3)4( 4.0)    26760.2*     0.00E+00
   263     2    3S2 3P1 8I1         (1)6( 6.0)    26760.3*     0.00E+00
   264     2    3S2 3P1 8I1         (3)6( 7.0)    26760.3*     0.00E+00
   265     2    3S2 3P1 8H1         (3)5( 4.0)    26760.4*     0.00E+00
   266     2    3S2 3P1 8H1         (3)5( 5.0)    26760.4*     0.00E+00
   267     2    3S2 3P1 8G1         (3)4( 3.0)    26760.5*     0.00E+00
   268     2    3S2 3P1 8I1         (3)6( 5.0)    26760.9*     0.00E+00
   269     2    3S2 3P1 8I1         (3)6( 6.0)    26760.9*     0.00E+00
   270     2    3S2 3P1 8I1         (1)7( 7.0)    26762.9*     0.00E+00
   271     2    3S2 3P1 8I1         (3)7( 8.0)    26762.9*     0.00E+00
   272     2    3S2 3P1 8I1         (3)5( 4.0)    26763.5*     0.00E+00
   273     2    3S2 3P1 8I1         (3)5( 5.0)    26763.5*     0.00E+00
   274     2    3S2 3P1 8H1         (1)6( 6.0)    26763.6*     0.00E+00
   275     2    3S2 3P1 8H1         (3)6( 7.0)    26763.6*     0.00E+00
   276     2    3S2 3P1 8H1         (3)4( 3.0)    26764.8*     0.00E+00
   277     2    3S2 3P1 8H1         (3)4( 4.0)    26764.8*     0.00E+00
   278     2    3S2 3P1 8G1         (3)5( 6.0)    26767.0*     0.00E+00
   279     2    3S2 3P1 8G1         (1)5( 5.0)    26767.0*     0.00E+00
   280     2    3S2 3P1 8G1         (3)3( 2.0)    26768.1*     0.00E+00
   281     2    3S2 3P1 8G1         (3)3( 3.0)    26769.0*     0.00E+00
   282     2    3S2 3P1 4D1         (3)1( 2.0)    27101.5*     0.00E+00
   283     2    3S2 3P1 4D1         (3)1( 1.0)    27187.6*     0.00E+00
   284     2    3S2 3P1 4D1         (3)1( 0.0)    27231.5*     0.00E+00
   285     2    3S2 3P1 4F1         (1)3( 3.0)    27678.4*     0.00E+00
   286     2    3S2 3P1 4F1         (3)3( 2.0)    27818.0*     0.00E+00
   287     2    3S2 3P1 4F1         (3)3( 3.0)    27835.9*     0.00E+00
   288     2    3S2 3P1 4F1         (3)3( 4.0)    27867.1*     0.00E+00
   289     2    3S2 3P1 4F1         (3)4( 3.0)    28323.3*     0.00E+00
   290     2    3S2 3P1 4F1         (3)4( 4.0)    28396.1*     0.00E+00
   291     2    3S2 3P1 4F1         (3)4( 5.0)    28517.0*     0.00E+00
   292     2    3S2 3P1 4D1         (1)3( 3.0)    28657.3*     0.00E+00
   293     2    3S2 3P1 4F1         (3)2( 3.0)    28905.7*     0.00E+00
   294     2    3S2 3P1 4F1         (3)2( 2.0)    28976.3*     0.00E+00
   295     2    3S2 3P1 4F1         (3)2( 1.0)    29053.2*     0.00E+00
   296     2    3S2 3P1 4F1         (1)4( 4.0)    29074.9*     0.00E+00
   297     2    3S2 3P1 4F1         (1)2( 2.0)    29289.5*     0.00E+00
   298     2    3S2 3P1 4D1         (1)1( 1.0)    29368.0*     0.00E+00

   NL-SHELL INDEXING & AUGER RATES                     NLREP= 55
   -------------------------------
   ILREP   N   L  M'-M =    2-1       3-1       4-1       5-1       3-2       4-2       5-2       4-3
   -----   -   -  ----      5-3       5-4
