SEQ='C '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15626082.5   NPRNTI= 5   NPRNTF= 8
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S2 2P1             (2)1( 1.5)      345.6 
     3          2S1 2P2             (4)1( 0.5)    66324.9 
     4          2S1 2P2             (4)1( 1.5)    66445.7 
     5          2S1 2P2             (4)1( 2.5)    66645.8 
     6          2S1 2P2             (2)2( 1.5)   130918.0*
     7          2S1 2P2             (2)2( 2.5)   130919.1*
     8          2S1 2P2             (2)1( 0.5)   168711.6*

   IC RESOLVED LEVEL INDEXING           BWNR=  15798840.8   NLVL= 941
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   309     2    2S2 2P1 8P1         (3)0( 1.0)   156019.3 
   310     2    2S2 2P1 8P1         (3)2( 3.0)   156159.7 
   311     1    2S2 2P1 8P1         (3)1( 0.0)   156174.8 
   312     2    2S2 2P1 8P1         (3)1( 1.0)   156333.7 
   313     2    2S2 2P1 8P1         (3)1( 2.0)   156401.3 
   314     2    2S2 2P1 8P1         (1)2( 2.0)   156754.6 
   315     1    2S2 2P1 8D1         (3)3( 2.0)   156860.0 
   316     2    2S2 2P1 8P1         (1)0( 0.0)   156977.8 
   317     1    2S2 2P1 8D1         (3)3( 3.0)   156982.4 
   318     1    2S2 2P1 8D1         (1)2( 2.0)   157019.6 
   319     1    2S2 2P1 8D1         (3)2( 1.0)   157168.8 
   320     2    2S2 2P1 8D1         (3)3( 4.0)   157202.7 
   321     1    2S2 2P1 8F1         (3)4( 3.0)   157249.1 
   322     1    2S2 2P1 8F1         (3)3( 3.0)   157257.8 
   323     1    2S2 2P1 8F1         (3)3( 2.0)   157265.7 
   324     1    2S2 2P1 8F1         (3)4( 4.0)   157271.2 
   325     2    2S2 2P1 8D1         (3)2( 2.0)   157277.8 
   326     1    2S2 2P1 8G1         (3)3( 4.0)   157325.2 
   327     1    2S2 2P1 8G1         (1)3( 3.0)   157325.4 
   328     1    2S2 2P1 8G1         (3)5( 4.0)   157325.6 
   329     1    2S2 2P1 8H1         (1)4( 4.0)   157325.9 
