SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496278.1   NPRNTI= 5   NPRNTF= 5
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 2.5)        0.0 
     2          3S1 3P2             (4)1( 5.5)    39975.6 
     3          3S1 3P2             (2)2( 4.5)    55707.8 
     4          3S1 3P2             (2)0( 0.5)    73644.4 
     5          3S1 3P2             (2)1( 2.5)    80374.1 

   LS RESOLVED TERM INDEXING            BWNR=  63582352.7   NTRM= 821
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   244     2    3S1 3P2 7P1         (3)0( 1.0)   122415.0*     0.00E+00
   245     2    3S1 3P2 7P1         (5)2(12.0)   122435.1*     0.00E+00
   246     2    3S1 3P2 6D1         (5)2(12.0)   122442.5*     0.00E+00
   247     2    3S1 3P2 7P1         (5)0( 2.0)   122496.8*     0.00E+00
   248     2    3S1 3P2 7P1         (5)1( 7.0)   122517.6*     0.00E+00
   249     2    3S1 3P2 7P1         (3)2( 7.0)   122666.0*     2.03E+13
   250     2    3S1 3P2 7P1         (3)1( 4.0)   122795.4*     1.14E+13
   251     2    3S1 3P2 6F1         (5)2(12.0)   122952.6*     0.00E+00
   252     2    3S1 3P2 6F1         (3)2( 7.0)   122955.7*     2.54E+11
   253     2    3S1 3P2 6F1         (5)4(22.0)   122971.0*     0.00E+00
   254     2    3S1 3P2 6F1         (3)4(13.0)   122979.4*     4.19E+09
   255     2    3S1 3P2 6G1         (5)3(17.0)   122985.5*     0.00E+00
   256     2    3S1 3P2 6G1         (3)3(10.0)   122985.5*     2.20E+08
   257     2    3S1 3P2 6G1         (5)5(27.0)   122993.4*     0.00E+00
   258     2    3S1 3P2 6G1         (3)5(16.0)   122993.6*     1.47E+07
   259     2    3S1 3P2 6H1         (5)4(22.0)   122993.6*     0.00E+00
   260     2    3S1 3P2 6H1         (3)4(13.0)   122993.6*     7.05E+04
   261     2    3S1 3P2 6H1         (5)6(32.0)   122997.1*     0.00E+00
   262     2    3S1 3P2 6H1         (3)6(19.0)   122997.1*     6.54E+03
   263     2    3S1 3P2 6H1         (5)5(27.0)   123014.4*     0.00E+00
   264     2    3S1 3P2 6H1         (3)5(16.0)   123014.4*     2.65E+05
   265     2    3S1 3P2 6G1         (5)4(22.0)   123024.7*     0.00E+00
   266     2    3S1 3P2 6G1         (3)4(13.0)   123024.8*     6.02E+08
   267     2    3S1 3P2 6F1         (5)3(17.0)   123038.2*     0.00E+00
   268     2    3S1 3P2 6F1         (3)3(10.0)   123051.0*     5.40E+10
   269     2    3S1 3P2 8S1         (5)1( 7.0)   123142.2*     0.00E+00
   270     2    3S1 3P2 8S1         (3)1( 4.0)   123201.5*     7.25E+12
   271     2    3S1 3P2 7D1         (3)1( 4.0)   123205.6*     1.35E+11
   272     2    3S1 3P2 7D1         (3)2( 7.0)   123208.0*     4.62E+11
