SEQ='AL'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 113539305.5   NPRNTI= 4   NPRNTF=18
   ---------------------
   INDP         CODE                 S L   WI        WNP
   306     2    2P6 3S1 3P1 5G1     (4)4( 4.5)   672353.7 
   307     3    2P6 3S1 3P1 5G1     (4)4( 2.5)   672489.2 
   308     3    2P6 3S1 3P1 5G1     (2)4( 3.5)   672603.7 
   309     4    2P6 3S1 3P1 5F1     (4)2( 3.5)   672651.3 
   310     3    2P6 3S1 3P1 5G1     (4)4( 5.5)   672747.4 
   311    14    2P6 3P1 3D2         (2)4( 3.5)   672801.8 
   312     3    2P6 3S1 3P1 5G1     (2)4( 4.5)   672867.9 
   313    14    2P6 3P1 3D2         (4)1( 2.5)   672889.6 
   314    14    2P6 3P1 3D2         (2)4( 4.5)   672977.1 
   315     4    2P6 3S1 3P1 5F1     (4)2( 2.5)   673102.0 
   316     4    2P6 3S1 3P1 5F1     (4)2( 1.5)   673441.1 
   317     4    2P6 3S1 3P1 5F1     (4)2( 0.5)   673638.3 
   318     3    2P6 3S1 3P1 5G1     (4)5( 3.5)   674168.4 
   319     3    2P6 3S1 3P1 5G1     (4)5( 4.5)   674421.3 
   320     4    2P6 3S1 3P1 5F1     (2)4( 3.5)   674443.1 
   321     4    2P6 3S1 3P1 5G1     (4)5( 5.5)   675101.0 
   322     4    2P6 3S1 3P1 5G1     (4)3( 4.5)   675256.8 
   323     4    2P6 3S1 3P1 5G1     (2)3( 3.5)   675387.1 
   324     4    2P6 3S1 3P1 5G1     (2)5( 4.5)   675463.8 
   325     4    2P6 3S1 3P1 5F1     (2)4( 4.5)   675521.6 
   326     4    2P6 3S1 3P1 5F1     (2)2( 2.5)   675547.6 
   327     4    2P6 3S1 3P1 5G1     (4)5( 6.5)   675650.0 
   328     4    2P6 3S1 3P1 5G1     (4)3( 3.5)   675944.7 
   329     4    2P6 3S1 3P1 5G1     (4)3( 2.5)   675947.1 
   330     4    2P6 3S1 3P1 5G1     (2)5( 5.5)   676275.2 
   331     4    2P6 3S1 3P1 5F1     (2)2( 1.5)   676301.6 
   332     4    2P6 3S1 3P1 5G1     (4)3( 1.5)   676301.8 
   333     4    2P6 3S1 3P1 5G1     (2)3( 2.5)   676399.7 
   334    14    2P6 3P1 3D2         (2)5( 4.5)   681557.7 
   335    13    2P6 3P1 3D2         (2)5( 5.5)   682928.5 
   336     2    2P6 3S1 3P1 6S1     (4)1( 0.5)   685115.8 
   337     3    2P6 3S1 3P1 6S1     (4)1( 1.5)   685819.1 
   338     4    2P6 3S1 3P1 6S1     (4)1( 2.5)   687208.6 
   339     3    2P6 3S1 3P1 6S1     (2)1( 0.5)   687757.6 
   340     5    2P6 3S1 3P1 5P1     (2)2( 1.5)   689224.7 
   341     5    2P6 3S1 3P1 5P1     (2)1( 0.5)   689240.0 
   342     4    2P6 3S1 3P1 6S1     (2)1( 1.5)   689323.4 
   343    15    2P6 3P1 3D2         (4)2( 3.5)   689324.2 
   344     5    2P6 3S1 3P1 5P1     (2)2( 2.5)   689427.7 
   345    15    2P6 3P1 3D2         (4)2( 2.5)   689441.6 
   346     5    2P6 3S1 3P1 5P1     (2)1( 1.5)   689461.3 
   347    15    2P6 3P1 3D2         (4)2( 1.5)   689524.7 
