SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112580517.2   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)   139182.0 
     3          3P1                 (2)1( 1.5)   141357.6 
     4          3D1                 (2)2( 1.5)   332144.3*
     5          3D1                 (2)2( 2.5)   332333.0*

   IC RESOLVED LEVEL INDEXING           BWNR= 113581641.6   NLVL= 453
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   322     2    3P1 7F1             (3)4( 4.0)  1029518.9*     6.11E+13
   323     2    3P1 7F1             (3)3( 2.0)  1029645.5*     7.06E+12
   324     2    3P1 7G1             (1)4( 4.0)  1030216.8*     3.92E+13
   325     2    3P1 7G1             (3)4( 4.0)  1030251.9*     2.52E+13
   326     2    3P1 7G1             (3)4( 3.0)  1030307.0*     3.84E+11
   327     2    3P1 7G1             (3)5( 5.0)  1030348.7*     6.31E+13
   328     2    3P1 7H1             (3)5( 5.0)  1030488.9*     2.12E+11
   329     2    3P1 7H1             (3)5( 4.0)  1030493.7*     2.44E+11
   330     2    3P1 7H1             (3)6( 5.0)  1030507.3*     3.68E+13
   331     2    3P1 7H1             (3)6( 6.0)  1030518.9*     3.70E+13
   332     2    3P1 7I1             (1)5( 5.0)  1030542.4*     4.74E+10
   333     2    3P1 7I1             (3)5( 6.0)  1030543.3*     4.54E+10
   334     2    3P1 7I1             (3)7( 6.0)  1030550.5*     9.83E+12
   335     2    3P1 7I1             (3)7( 7.0)  1030551.8*     9.84E+12
   336     3    3P1 7F1             (1)3( 3.0)  1031061.7*     2.84E+13  0.00E+00
   337     3    3P1 7F1             (3)3( 4.0)  1031251.4*     3.57E+13  0.00E+00
   338     3    3P1 7F1             (3)4( 5.0)  1031365.5*     8.53E+13  0.00E+00
   339     3    3P1 7F1             (3)2( 3.0)  1031746.0*     1.97E+13  0.00E+00
   340     3    3P1 7F1             (3)2( 2.0)  1031976.1*     2.32E+13  0.00E+00
   341     3    3P1 7G1             (3)5( 4.0)  1032165.1*     5.16E+13  0.00E+00
   342     3    3P1 7G1             (3)4( 5.0)  1032247.0*     5.91E+13  0.00E+00
   343     3    3P1 7F1             (3)2( 1.0)  1032249.3*     2.80E+13  0.00E+00
   344     3    3P1 7H1             (1)5( 5.0)  1032486.7*     2.55E+13  0.00E+00
   345     3    3P1 7H1             (3)5( 6.0)  1032495.6*     2.60E+13  0.00E+00
   346     3    3P1 7G1             (3)3( 4.0)  1032529.2*     5.34E+11  0.00E+00
   347     3    3P1 7I1             (1)6( 6.0)  1032588.7*     5.55E+12  0.00E+00
   348     3    3P1 7I1             (3)6( 7.0)  1032589.9*     5.56E+12  0.00E+00
   349     3    3P1 7G1             (3)3( 3.0)  1032626.3*     7.46E+11  0.00E+00
   350     3    3P1 7H1             (3)4( 5.0)  1032644.7*     1.53E+11  0.00E+00
   351     3    3P1 7H1             (1)4( 4.0)  1032651.0*     3.18E+11  0.00E+00
   352     3    3P1 7I1             (3)6( 5.0)  1032663.7*     4.51E+10  0.00E+00
   353     3    3P1 7I1             (3)6( 6.0)  1032664.6*     4.14E+10  0.00E+00
   354     3    3P1 7G1             (3)5( 6.0)  1032693.3*     1.15E+14  0.00E+00
   355     3    3P1 7I1             (1)7( 7.0)  1032854.6*     1.51E+13  0.00E+00
   356     3    3P1 7I1             (3)7( 8.0)  1032855.3*     1.50E+13  0.00E+00
   357     3    3P1 7H1             (3)6( 7.0)  1032896.7*     6.17E+13  0.00E+00
   358     3    3P1 7H1             (1)6( 6.0)  1032914.4*     6.23E+13  0.00E+00
   359     3    3P1 7I1             (3)5( 4.0)  1032920.8*     8.34E+10  0.00E+00
   360     3    3P1 7I1             (3)5( 5.0)  1032922.1*     8.96E+10  0.00E+00
   361     3    3P1 7G1             (1)5( 5.0)  1032986.8*     1.27E+14  0.00E+00
   362     3    3P1 7H1             (3)4( 3.0)  1033031.5*     2.64E+11  0.00E+00
   363     3    3P1 7H1             (3)4( 4.0)  1033043.5*     5.16E+11  0.00E+00
   364     3    3P1 7G1             (3)3( 2.0)  1033051.4*     7.30E+11  0.00E+00
